"key","zh-Hant","en","ja","ko","ru","vi","zh-Hans"
"大城","大城","Dacheng","大城","大城","大城","大城","大城"
"竹塘","竹塘","Zhutang","竹塘","竹塘","竹塘","竹塘","竹塘"
"溪州","溪州","Xizhou","渓州","溪州","溪州","溪州","溪州"
"埔里","埔里","Puli","埔里","埔里","埔里","埔里","埔里"
"草屯","草屯","Caotun","草屯","草屯","草屯","草屯","草屯"
"竹山","竹山","Zhushan","竹山","竹山","竹山","竹山","竹山"
"集集","集集","Jiji","集集","集集","集集","集集","集集"
"名間","名間","Mingjian","名間","名間","名間","名間","名間"
"鹿谷","鹿谷","Lugu","鹿谷","鹿谷","鹿谷","鹿谷","鹿谷"
"中寮","中寮","Zhongliao","中寮","中寮","中寮","中寮","中寮"
"魚池","魚池","Yuchi","魚池","魚池","魚池","魚池","魚池"
"國姓","國姓","Guoxing","国姓","國姓","國姓","國姓","國姓"
"水里","水里","Shuili","水里","水里","水里","水里","水里"
"信義","信義","Xinyi","信義","信義","信義","信義","信義"
"仁愛","仁愛","Ren'Ai","仁愛","仁愛","仁愛","仁愛","仁愛"
"斗六","斗六","Douliu","斗六","斗六","斗六","斗六","斗六"
"斗南","斗南","Dounan","斗南","斗南","斗南","斗南","斗南"
"虎尾","虎尾","Huwei","虎尾","虎尾","虎尾","虎尾","虎尾"
"西螺","西螺","Xiluo","西螺","西螺","西螺","西螺","西螺"
"土庫","土庫","Tuku","土庫","土庫","土庫","土庫","土庫"
"北港","北港","Beigang","北港","北港","北港","北港","北港"
"古坑","古坑","Gukeng","古坑","古坑","古坑","古坑","古坑"
"大埤","大埤","Dapi","大埤","大埤","大埤","大埤","大埤"
"莿桐","莿桐","Citong","莿桐","莿桐","莿桐","莿桐","莿桐"
"林內","林內","Linnei","林内","林內","林內","林內","林內"
"二崙","二崙","Erlun","二崙","二崙","二崙","二崙","二崙"
"崙背","崙背","Lunbei","崙背","崙背","崙背","崙背","崙背"
"東勢","東勢","Dongshi","東勢","東勢","東勢","東勢","東勢"
"褒忠","褒忠","Baozhong","褒忠","褒忠","褒忠","褒忠","褒忠"
"元長","元長","Yuanchang","元長","元長","元長","元長","元長"
"水林","水林","Shuilin","水林","水林","水林","水林","水林"
"朴子","朴子","Puzi","朴子","朴子","朴子","朴子","朴子"
"大林","大林","Dalin","大林","大林","大林","大林","大林"
"民雄","民雄","Minxiong","民雄","民雄","民雄","民雄","民雄"
"溪口","溪口","Xikou","渓口","溪口","溪口","溪口","溪口"
"新港","新港","Xingang","新港","新港","新港","新港","新港"
"六腳","六腳","Liujiao","六脚","六腳","六腳","六腳","六腳"
"義竹","義竹","Yizhu","義竹","義竹","義竹","義竹","義竹"
"鹿草","鹿草","Lucao","鹿草","鹿草","鹿草","鹿草","鹿草"
"竹崎","竹崎","Zhuqi","竹崎","竹崎","竹崎","竹崎","竹崎"
"梅山","梅山","Meishan","梅山","梅山","梅山","梅山","梅山"
"大埔","大埔","Dapu","大埔","大埔","大埔","大埔","大埔"
"阿里山","阿里山","Alishan","阿里山","阿里山","阿里山","阿里山","阿里山"
"潮州","潮州","Chaojhou","潮州","潮州","潮州","潮州","潮州"
"長治","長治","Changzhi","長治","長治","長治","長治","長治"
"麟洛","麟洛","Linluo","麟洛","麟洛","麟洛","麟洛","麟洛"
"九如","九如","Jiuru","九如","九如","九如","九如","九如"
"里港","里港","Ligang","里港","里港","里港","里港","里港"
"鹽埔","鹽埔","Yanpuxinwei","塩埔","鹽埔","鹽埔","鹽埔","鹽埔"
"高樹","高樹","Gaoshu","高樹","高樹","高樹","高樹","高樹"
"萬巒","萬巒","Wanluan","万巒","萬巒","萬巒","萬巒","萬巒"
"內埔","內埔","Neipu","内埔","內埔","內埔","內埔","內埔"
"新埤","新埤","Xinpi","新埤","新埤","新埤","新埤","新埤"
"崁頂","崁頂","Kanding","崁頂","崁頂","崁頂","崁頂","崁頂"
"南州","南州","Nanzhou","南州","南州","南州","南州","南州"
"琉球","琉球","Liuqiu","琉球","琉球","琉球","琉球","琉球"
"三地門","三地門","Sandimen","三地門","三地門","三地門","三地門","三地門"
"霧臺","霧臺","Wutai","霧台","霧臺","霧臺","霧臺","霧臺"
"瑪家","瑪家","Majia","瑪家","瑪家","瑪家","瑪家","瑪家"
"泰武","泰武","Taiwu","泰武","泰武","泰武","泰武","泰武"
"來義","來義","Laiyi","来義","來義","來義","來義","來義"
"春日","春日","Chunri","春日","春日","春日","春日","春日"
"獅子","獅子","Shizi","獅子","獅子","獅子","獅子","獅子"
"鹿野","鹿野","Luye","鹿野","鹿野","鹿野","鹿野","鹿野"
"池上","池上","Chihshang","池上","池上","池上","池上","池上"
"延平","延平","Yanping","延平","延平","延平","延平","延平"
"光復","光復","Guangfu","光復","光復","光復","光復","光復"
"瑞穗","瑞穗","Ruisui","瑞穂","瑞穗","瑞穗","瑞穗","瑞穗"
"富里","富里","Fuli","富里","富里","富里","富里","富里"
"馬公","馬公","Magong","馬公","馬公","馬公","馬公","馬公"
"白沙","白沙","Baisha","白沙","白沙","白沙","白沙","白沙"
"西嶼","西嶼","Xiyu","西嶼","西嶼","西嶼","西嶼","西嶼"
"望安","望安","Wangan","望安","望安","望安","望安","望安"
"七美","七美","Qimei","七美","七美","七美","七美","七美"
"暖暖","暖暖","Nuannuan","暖暖","暖暖","暖暖","暖暖","暖暖"
"大安","大安","Da-An","大安","大安","大安","大安","大安"
"文山","文山","Wenshan","文山","文山","文山","文山","文山"
"鹽埕","鹽埕","Yancheng","塩埕","鹽埕","鹽埕","鹽埕","鹽埕"
"新興","新興","Sinsing","新興","新興","新興","新興","新興"
"前金","前金","Qianjin","前金","前金","前金","前金","前金"
"前鎮","前鎮","Chian Jhen","前鎮","前鎮","前鎮","前鎮","前鎮"
"頭城","頭城","Toucheng","頭城","頭城","頭城","頭城","頭城"
"南澳","南澳","Nanao","南澳","南澳","南澳","南澳","南澳"
"竹北","竹北","Zhubei","竹北","竹北","竹北","竹北","竹北"
"新豐","新豐","Sinfong","新豊","新豐","新豐","新豐","新豐"
"苑裡","苑裡","Yuanli","苑裡","苑裡","苑裡","苑裡","苑裡"
"通霄","通霄","Tongxiao","通霄","通霄","通霄","通霄","通霄"
"竹南","竹南","Jhunan","竹南","竹南","竹南","竹南","竹南"
"後龍","後龍","Houlong","後龍","後龍","後龍","後龍","後龍"
"鹿港","鹿港","Lukang","鹿港","鹿港","鹿港","鹿港","鹿港"
"福興","福興","Fuxing","福興","福興","福興","福興","福興"
"臺西","臺西","Taixi","台西","臺西","臺西","臺西","臺西"
"四湖","四湖","Sihu","四湖","四湖","四湖","四湖","四湖"
"口湖","口湖","Kouhu","口湖","口湖","口湖","口湖","口湖"
"布袋","布袋","Budai","布袋","布袋","布袋","布袋","布袋"
"東港","東港","Donggang","東港","東港","東港","東港","東港"
"枋寮","枋寮","Fangliao","枋寮","枋寮","枋寮","枋寮","枋寮"
"新園","新園","Xinyuan","新園","新園","新園","新園","新園"
"林邊","林邊","Linbian","林辺","林邊","林邊","林邊","林邊"
"車城","車城","Checheng","車城","車城","車城","車城","車城"
"滿州","滿州","Manzhou","満州","滿州","滿州","滿州","滿州"
"枋山","枋山","Fangshan","枋山","枋山","枋山","枋山","枋山"
"牡丹","牡丹","Mudan","牡丹","牡丹","牡丹","牡丹","牡丹"
"卑南","卑南","Beinan","卑南","卑南","卑南","卑南","卑南"
"東河","東河","Donghe","東河","東河","東河","東河","東河"
"吉安","吉安","Ji'an","吉安","吉安","吉安","吉安","吉安"
"壽豐","壽豐","Shoufeng","寿豊","壽豐","壽豐","壽豐","壽豐"
"秀林","秀林","Xiulin","秀林","秀林","秀林","秀林","秀林"
"楠梓","楠梓","Nanzi","楠梓","楠梓","楠梓","楠梓","楠梓"
"鳳山","鳳山","Fengshan","鳳山","鳳山","鳳山","鳳山","鳳山"
"大寮","大寮","Daliao","大寮","大寮","大寮","大寮","大寮"
"大樹","大樹","Dashu","大樹","大樹","大樹","大樹","大樹"
"大社","大社","Dashe","大社","大社","大社","大社","大社"
"仁武","仁武","Renwu","仁武","仁武","仁武","仁武","仁武"
"鳥松","鳥松","Niaosong","鳥松","鳥松","鳥松","鳥松","鳥松"
"岡山","岡山","Gangshan","岡山","岡山","岡山","岡山","岡山"
"橋頭","橋頭","Qiaotou","橋頭","橋頭","橋頭","橋頭","橋頭"
"燕巢","燕巢","Yanchao","燕巣","燕巢","燕巢","燕巢","燕巢"
"田寮","田寮","Tianliao","田寮","田寮","田寮","田寮","田寮"
"阿蓮","阿蓮","Alian","阿蓮","阿蓮","阿蓮","阿蓮","阿蓮"
"路竹","路竹","Luzhu","路竹","路竹","路竹","路竹","路竹"
"湖內","湖內","Hunei","湖内","湖內","湖內","湖內","湖內"
"旗山","旗山","Qishan","旗山","旗山","旗山","旗山","旗山"
"美濃","美濃","Meinong","美濃","美濃","美濃","美濃","美濃"
"六龜","六龜","Liugui","六亀","六龜","六龜","六龜","六龜"
"甲仙","甲仙","Jiaxian","甲仙","甲仙","甲仙","甲仙","甲仙"
"杉林","杉林","Shanlin","杉林","杉林","杉林","杉林","杉林"
"內門","內門","Neimen","内門","內門","內門","內門","內門"
"茂林","茂林","Maolin","茂林","茂林","茂林","茂林","茂林"
"桃源","桃源","Taoyuan","桃源","桃源","桃源","桃源","桃源"
"那瑪夏","那瑪夏","Namaxia","那瑪夏","那瑪夏","那瑪夏","那瑪夏","那瑪夏"
"永和","永和","Yonghe","永和","永和","永和","永和","永和"
"新店","新店","Xindian","新店","新店","新店","新店","新店"
"土城","土城","Tucheng","土城","土城","土城","土城","土城"
"蘆洲","蘆洲","Lujhou","蘆洲","蘆洲","蘆洲","蘆洲","蘆洲"
"五股","五股","Wugu","五股","五股","五股","五股","五股"
"坪林","坪林","Pinglin","坪林","坪林","坪林","坪林","坪林"
"平溪","平溪","Pingxi","平渓","平溪","平溪","平溪","平溪"
"烏來","烏來","Wulai","烏来","烏來","烏來","烏來","烏來"
"豐原","豐原","Fengyuan","豊原","豐原","豐原","豐原","豐原"
"后里","后里","Houli","后里","后里","后里","后里","后里"
"神岡","神岡","Shengang","神岡","神岡","神岡","神岡","神岡"
"新社","新社","Xinshe","新社","新社","新社","新社","新社"
"石岡","石岡","Shigang","石岡","石岡","石岡","石岡","石岡"
"外埔","外埔","Waipu","外埔","外埔","外埔","外埔","外埔"
"大肚","大肚","Dadu","大肚","大肚","大肚","大肚","大肚"
"新營","新營","Xinying","新営","新營","新營","新營","新營"
"鹽水","鹽水","Yanshui","塩水","鹽水","鹽水","鹽水","鹽水"
"白河","白河","Baihe","白河","白河","白河","白河","白河"
"後壁","後壁","Houbi","後壁","後壁","後壁","後壁","後壁"
"麻豆","麻豆","Madou","麻豆","麻豆","麻豆","麻豆","麻豆"
"下營","下營","Xiaying","下営","下營","下營","下營","下營"
"六甲","六甲","Liujia","六甲","六甲","六甲","六甲","六甲"
"官田","官田","Guantian","官田","官田","官田","官田","官田"
"大內","大內","Danei","大内","大內","大內","大內","大內"
"佳里","佳里","Jiali","佳里","佳里","佳里","佳里","佳里"
"學甲","學甲","Xuejia","学甲","學甲","學甲","學甲","學甲"
"西港","西港","Xigang","西港","西港","西港","西港","西港"
"新化","新化","Xinhua","新化","新化","新化","新化","新化"
"新市","新市","Xinshi","新市","新市","新市","新市","新市"
"安定","安定","Anding","安定","安定","安定","安定","安定"
"玉井","玉井","Yujing","玉井","玉井","玉井","玉井","玉井"
"楠西","楠西","Nanxi","楠西","楠西","楠西","楠西","楠西"
"南化","南化","Nanhua","南化","南化","南化","南化","南化"
"左鎮","左鎮","Zuozhen","左鎮","左鎮","左鎮","左鎮","左鎮"
"仁德","仁德","Rende","仁徳","仁德","仁德","仁德","仁德"
"歸仁","歸仁","Guiren","帰仁","歸仁","歸仁","歸仁","歸仁"
"關廟","關廟","Guanmiao","関廟","關廟","關廟","關廟","關廟"
"龍崎","龍崎","Longqi","龍崎","龍崎","龍崎","龍崎","龍崎"
"永康","永康","Yongkang","永康","永康","永康","永康","永康"
"北","北","North","北","北","北","北","北"
"林園","林園","Linyuan","林園","林園","林園","林園","林園"
"茄萣","茄萣","Qieding","茄萣","茄萣","茄萣","茄萣","茄萣"
"永安","永安","Yong'An","永安","永安","永安","永安","永安"
"彌陀","彌陀","Mituo","弥陀","彌陀","彌陀","彌陀","彌陀"
"梓官","梓官","Ziguan","梓官","梓官","梓官","梓官","梓官"
"淡水","淡水","Tamsui","淡水","淡水","淡水","淡水","淡水"
"瑞芳","瑞芳","Rueifang","瑞芳","瑞芳","瑞芳","瑞芳","瑞芳"
"林口","林口","Linkou","林口","林口","林口","林口","林口"
"三芝","三芝","Sanzhi","三芝","三芝","三芝","三芝","三芝"
"八里","八里","Bali","八里","八里","八里","八里","八里"
"大甲","大甲","Dajia","大甲","大甲","大甲","大甲","大甲"
"北門","北門","Beimen","北門","北門","北門","北門","北門"
"安南","安南","Annan","安南","安南","安南","安南","安南"
"蘆竹","蘆竹","Luzhu","蘆竹","蘆竹","蘆竹","蘆竹","蘆竹"
"龜山","龜山","Guishan","亀山","龜山","龜山","龜山","龜山"
"復興","復興","Fuxing","復興","復興","復興","復興","復興"
"東","東","East","東","東","東","東","東"
"西","西","West","西","西","西","西","西"
"達仁","達仁","Daren","達仁","達仁","達仁","達仁","達仁"
"大武","大武","Dawu","大武","大武","大武","大武","大武"
"關山","關山","Guanshan","関山","關山","關山","關山","關山"
"海端","海端","Haiduan","海端","海端","海端","海端","海端"
"香山","香山","Xiangshan","香山","香山","香山","香山","香山"
"礁溪","礁溪","Chiaoshi","礁渓","礁溪","礁溪","礁溪","礁溪"
"玉里","玉里","Yuli","玉里","玉里","玉里","玉里","玉里"
"卓溪","卓溪","Zhuoxi","卓渓","卓溪","卓溪","卓溪","卓溪"
"頭份","頭份","Toufen","頭份","頭份","頭份","頭份","頭份"
"清水","清水","Qingshui","清水","清水","清水","清水","清水"
"南","南","South","南","南","南","南","南"
"安平","安平","Anping","安平","安平","安平","安平","安平"
"中西","中西","West Central","中西","中西","中西","中西","中西"
"大溪","大溪","Dasi","大渓","大溪","大溪","大溪","大溪"
"八德","八德","Bade","八徳","八德","八德","八德","八德"
"大園","大園","Dayuan","大園","大園","大園","大園","大園"
"楊梅","楊梅","Yangmei","楊梅","楊梅","楊梅","楊梅","楊梅"
"七堵","七堵","Qidu","七堵","七堵","七堵","七堵","七堵"
"中正","中正","Zhongzheng","中正","中正","中正","中正","中正"
"中山","中山","Zhongshan","中山","中山","中山","中山","中山"
"安樂","安樂","Anle","安楽","安樂","安樂","安樂","安樂"
"三峽","三峽","Sanshia","三峡","三峽","三峽","三峽","三峽"
"鶯歌","鶯歌","Yingge","鶯歌","鶯歌","鶯歌","鶯歌","鶯歌"
"中和","中和","Zhonghe","中和","中和","中和","中和","中和"
"樹林","樹林","Shulin","樹林","樹林","樹林","樹林","樹林"
"深坑","深坑","Shenkeng","深坑","深坑","深坑","深坑","深坑"
"板橋","板橋","Banchiao","板橋","板橋","板橋","板橋","板橋"
"石碇","石碇","Shihding","石碇","石碇","石碇","石碇","石碇"
"新莊","新莊","Xinzhuang","新荘","新莊","新莊","新莊","新莊"
"泰山","泰山","Taishan","泰山","泰山","泰山","泰山","泰山"
"三重","三重","Sanchong","三重","三重","三重","三重","三重"
"雙溪","雙溪","Shuangsi","双渓","雙溪","雙溪","雙溪","雙溪"
"貢寮","貢寮","Gongliao","貢寮","貢寮","貢寮","貢寮","貢寮"
"汐止","汐止","Xizhi","汐止","汐止","汐止","汐止","汐止"
"萬里","萬里","Wanli","万里","萬里","萬里","萬里","萬里"
"金山","金山","Jinshan","金山","金山","金山","金山","金山"
"石門","石門","Shimen","石門","石門","石門","石門","石門"
"苓雅","苓雅","Lingya","苓雅","苓雅","苓雅","苓雅","苓雅"
"三民","三民","Sanmin","三民","三民","三民","三民","三民"
"新屋","新屋","Xinwu","新屋","新屋","新屋","新屋","新屋"
"觀音","觀音","Guanyin","観音","觀音","觀音","觀音","觀音"
"北竿","北竿","Beigan","北竿","北竿","北竿","北竿","北竿"
"東引","東引","Dongyin","東引","東引","東引","東引","東引"
"烈嶼","烈嶼","Lieyu","烈嶼","烈嶼","烈嶼","烈嶼","烈嶼"
"旗津","旗津","Qijin","旗津","旗津","旗津","旗津","旗津"
"長濱","長濱","Changbin","長浜","長濱","長濱","長濱","長濱"
"豐濱","豐濱","Fengbin","豊浜","豐濱","豐濱","豐濱","豐濱"
"霧峰","霧峰","Wufeng","霧峰","霧峰","霧峰","霧峰","霧峰"
"大里","大里","Dali","大里","大里","大里","大里","大里"
"烏日","烏日","Wuri","烏日","烏日","烏日","烏日","烏日"
"中","中","Central","中","中","中","中","中"
"南屯","南屯","Nantun","南屯","南屯","南屯","南屯","南屯"
"西屯","西屯","Xitun","西屯","西屯","西屯","西屯","西屯"
"北屯","北屯","Beitun","北屯","北屯","北屯","北屯","北屯"
"潭子","潭子","Tanzi","潭子","潭子","潭子","潭子","潭子"
"萬華","萬華","Wanhua","万華","萬華","萬華","萬華","萬華"
"松山","松山","Songshan","松山","松山","松山","松山","松山"
"士林","士林","Shilin","士林","士林","士林","士林","士林"
"北投","北投","Beitou","北投","北投","北投","北投","北投"
"新城","新城","Xincheng","新城","新城","新城","新城","新城"
"善化","善化","Shanhua","善化","善化","善化","善化","善化"
"山上","山上","Shanshang","山上","山上","山上","山上","山上"
"北斗","北斗","Beidou","北斗","北斗","北斗","北斗","北斗"
"田尾","田尾","Tianwei","田尾","田尾","田尾","田尾","田尾"
"金沙","金沙","Jinsha ","金沙","金沙","金沙","金沙","金沙"
"金湖","金湖","Jinhu","金湖","金湖","金湖","金湖","金湖"
"柳營","柳營","Liuying","柳営","柳營","柳營","柳營","柳營"
"東山","東山","Dongshan","東山","東山","東山","東山","東山"
"七股","七股","Qigu","七股","七股","七股","七股","七股"
"將軍","將軍","Jiangjun","将軍","將軍","將軍","將軍","將軍"
"鼓山","鼓山","Gushan","鼓山","鼓山","鼓山","鼓山","鼓山"
"左營","左營","Zuoying","左営","左營","左營","左營","左營"
"中壢","中壢","Zhongli","中壢","中壢","中壢","中壢","中壢"
"寶山","寶山","Baoshan","宝山","寶山","寶山","寶山","寶山"
"恆春","恆春","Hengchun","恒春","恆春","恆春","恆春","恆春"
"太平","太平","Taiping","太平","太平","太平","太平","太平"
"鳳林","鳳林","Fenglin","鳳林","鳳林","鳳林","鳳林","鳳林"
"萬榮","萬榮","Wanrong","万栄","萬榮","萬榮","萬榮","萬榮"
"龍潭","龍潭","Longtan","龍潭","龍潭","龍潭","龍潭","龍潭"
"平鎮","平鎮","Pingjhen","平鎮","平鎮","平鎮","平鎮","平鎮"
"南港","南港","Nangang","南港","南港","南港","南港","南港"
"內湖","內湖","Neihu","内湖","內湖","內湖","內湖","內湖"
"金寧","金寧","Jinning","金寧","金寧","金寧","金寧","金寧"
"金城","金城","Jincheng","金城","金城","金城","金城","金城"
"尖石","尖石","Jianshi","尖石","尖石","尖石","尖石","尖石"
"泰安","泰安","Tai-An","泰安","泰安","泰安","泰安","泰安"
"和平","和平","Heping","和平","和平","和平","和平","和平"
"縣","縣","County","県","縣","縣","縣","縣"
"鄉","鄉","Township","郷","鄉","鄉","鄉","鄉"
"鎮","鎮","Town","鎮","鎮","鎮","鎮","鎮"
"市","市","City","市","市","市","市","市"
"區","區","District","区","區","區","區","區"
